ds,y
2009/4/12,1197
2009/4/13,1487
2009/4/14,1595
2009/4/15,1831
2009/4/16,1840
2009/4/17,1594
2009/4/18,1263
2009/4/19,1289
2009/4/20,1781
2009/4/21,1831
2009/4/22,1711
2009/4/23,1762
2009/4/24,2147
2009/4/25,2546
2009/4/26,2763
2009/4/27,2511
2009/4/28,1972
2009/4/29,2059
2009/4/30,2230
2009/5/1,1857
2009/5/2,1331
2009/5/3,1419
2009/5/4,1727
2009/5/5,1775
2009/5/6,1918
2009/5/7,1711
2009/5/8,1537
2009/5/9,1256
2009/5/10,1194
2009/5/11,1440
2009/5/12,1828
2009/5/13,1806
2009/5/14,1710
2009/5/15,1641
2009/5/16,1009
2009/5/17,1072
2009/5/18,1777
2009/5/19,1659
2009/5/20,1591
2009/5/21,1531
2009/5/22,1628
2009/5/23,1137
2009/5/24,967
2009/5/25,1080
2009/5/26,1730
2009/5/27,1799
2009/5/28,1527
2009/5/29,1218
2009/5/30,1090
2009/5/31,1023
2009/6/1,1364
2009/6/2,1765
2009/6/3,1579
2009/6/4,1394
2009/6/5,1494
2009/6/6,1260
2009/6/7,1067
2009/6/8,1324
2009/6/9,1533
2009/6/10,1532
2009/6/11,1690
2009/6/12,1622
2009/6/13,1055
2009/6/14,1121
2009/6/15,1358
2009/6/16,1826
2009/6/17,1523
2009/6/18,1802
2009/6/19,1340
2009/6/20,1193
2009/6/21,1273
2009/6/22,1417
2009/6/23,1337
2009/6/24,1464
2009/6/25,1247
2009/6/26,1191
2009/6/27,918
2009/6/28,1041
2009/6/29,1227
2009/6/30,1339
2009/7/1,1506
2009/7/2,1210
2009/7/3,1147
2009/7/4,1487
2009/7/5,2425
2009/7/6,2454
2009/7/7,1778
2009/7/8,1567
2009/7/9,1821
2009/7/10,1596
2009/7/11,1335
2009/7/12,1371
2009/7/13,1560
2009/7/14,1506
2009/7/15,1710
2009/7/16,1565
2009/7/17,1517
2009/7/18,1359
2009/7/19,1457
2009/7/20,1882
2009/7/21,1763
2009/7/22,2513
2009/7/23,2167
2009/7/24,2275
2009/7/25,1485
2009/7/26,1454
2009/7/27,1782
2009/7/28,2036
2009/7/29,2195
2009/7/30,1881
2009/7/31,1700
2009/8/1,1442
2009/8/2,1565
2009/8/3,2118
2009/8/4,2549
2009/8/5,4309
2009/8/6,3541
2009/8/7,2469
2009/8/8,1949
2009/8/9,2119
2009/8/10,2608
2009/8/11,2395
2009/8/12,2333
2009/8/13,2228
2009/8/14,3667
2009/8/15,2234
2009/8/16,2286
2009/8/17,2886
2009/8/18,4464
2009/8/19,3995
2009/8/20,2938
2009/8/21,5836
2009/8/22,2398
2009/8/23,2409
2009/8/24,2826
2009/8/25,3546
2009/8/26,2464
2009/8/27,2448
2009/8/28,3138
2009/8/29,2902
2009/8/30,2615
2009/8/31,3507
2009/9/1,3103
2009/9/2,2874
2009/9/3,2536
2009/9/4,2733
2009/9/5,2845
2009/9/6,3217
2009/9/7,2929
2009/9/8,3390
2009/9/9,2849
2009/9/10,3328
2009/9/11,3691
2009/9/12,3124
2009/9/13,7512
2009/9/14,5526
2009/9/15,5012
2009/9/16,3024
2009/9/17,3158
2009/9/18,3309
2009/9/19,2963
2009/9/20,4591
2009/9/21,16953
2009/9/22,26370
2009/9/24,4281
2009/9/28,20928
2009/9/29,6368
2009/9/30,3834
2009/10/1,3225
2009/10/2,3546
2009/10/3,2668
2009/10/4,8954
2009/10/5,12168
2009/10/6,9551
2009/10/7,4853
2009/10/8,4589
2009/10/9,3935
2009/10/10,4073
2009/10/11,6569
2009/10/12,29145
2009/10/13,8741
2009/10/17,5998
2009/10/18,8836
2009/10/19,7055
2009/10/20,5138
2009/10/21,4664
2009/10/22,3838
2009/10/23,3327
2009/10/24,3418
2009/10/25,6166
2009/10/26,11881
2009/10/27,5315
2009/10/28,3785
2009/10/29,3369
2009/10/30,3150
2009/10/31,2521
2009/11/1,7314
2009/11/2,6159
2009/11/3,5240
2009/11/4,3711
2009/11/5,3455
2009/11/6,2985
2009/11/7,2415
2009/11/8,6714
2009/11/9,8121
2009/11/10,5394
2009/11/11,3952
2009/11/12,4746
2009/11/13,4889
2009/11/14,4470
2009/11/16,38511
2009/11/17,9178
2009/11/18,6197
2009/11/19,5059
2009/11/20,4940
2009/11/21,3930
2009/11/23,9172
2009/11/24,5356
2009/11/25,4087
2009/11/26,5774
2009/11/27,7523
2009/11/28,4635
2009/11/29,10176
2009/11/30,10559
2009/12/1,10667
2009/12/2,4416
2009/12/3,5352
2009/12/4,4554
2009/12/5,4179
2009/12/6,8602
2009/12/7,10919
2009/12/8,6386
2009/12/9,4952
2009/12/10,4444
2009/12/11,5032
2009/12/12,4357
2009/12/13,8876
2009/12/14,17361
2009/12/15,7552
2009/12/16,5068
2009/12/17,5362
2009/12/18,17995
2009/12/19,5795
2009/12/20,9627
2009/12/21,9911
2009/12/22,11277
2009/12/23,5911
2009/12/24,4927
2009/12/25,3979
2009/12/26,4016
2009/12/27,9537
2009/12/28,14016
2009/12/29,8244
2009/12/30,6535
2009/12/31,4388
2010/1/1,4165
2010/1/2,5095
2010/1/3,6055
2010/1/4,6186
2010/1/5,4340
2010/1/6,4101
2010/1/7,4743
2010/1/8,5417
2010/1/9,7501
2010/1/10,13249
2010/1/11,9998
2010/1/12,5872
2010/1/13,5444
2010/1/14,5511
2010/1/15,5761
2010/1/16,6499
2010/1/17,60351
2010/1/18,17210
2010/1/19,10149
2010/1/20,8248
2010/1/21,7608
2010/1/22,8179
2010/1/25,97155
2010/1/26,28688
2010/1/27,16227
2010/1/28,12587
2010/1/29,11542
2010/1/30,10183
2010/1/31,10981
2010/2/1,28006
2010/2/2,20251
2010/2/3,24625
2010/2/4,19122
2010/2/5,24810
2010/2/6,22039
2010/2/7,72508
2010/2/9,35008
2010/2/10,15585
2010/2/11,9134
2010/2/12,6606
2010/2/13,4668
2010/2/14,3892
2010/2/15,3709
2010/2/16,3799
2010/2/17,3005
2010/2/18,3119
2010/2/19,2776
2010/2/20,2310
2010/2/21,2608
2010/2/22,2812
2010/2/24,4066
2010/2/25,2510
2010/2/26,2627
2010/2/27,2338
2010/2/28,2267
2010/3/1,2381
2010/3/2,2429
2010/3/3,2321
2010/3/4,3191
2010/3/5,6160
2010/3/6,2110
2010/3/7,2005
2010/3/8,2329
2010/3/9,2369
2010/3/10,2062
2010/3/11,1889
2010/3/12,2007
2010/3/13,1967
2010/3/14,1828
2010/3/15,2153
2010/3/16,2237
2010/3/17,2212
2010/3/18,2076
2010/3/19,1925
2010/3/20,1642
2010/3/21,1748
2010/3/22,2023
2010/3/23,2445
2010/3/24,3068
2010/3/25,2276
2010/3/26,2079
2010/3/27,1926
2010/3/28,1784
2010/3/29,1822
2010/3/30,2109
2010/3/31,2024
2010/4/1,1727
2010/4/2,1583
2010/4/3,1725
2010/4/4,1770
2010/4/5,2937
2010/4/6,2494
2010/4/7,2123
2010/4/8,1919
2010/4/9,1952
2010/4/10,1720
2010/4/11,1806
2010/4/12,1837
2010/4/13,2015
2010/4/14,1971
2010/4/15,2166
2010/4/16,2404
2010/4/17,1905
2010/4/18,1996
2010/4/19,2097
2010/4/20,2143
2010/4/21,2580
2010/4/22,3283
2010/4/23,7488
2010/4/24,4441
2010/4/25,2946
2010/4/26,2989
2010/4/27,3207
2010/4/28,2931
2010/4/29,2556
2010/4/30,2408
2010/5/1,1711
2010/5/2,1886
2010/5/3,2085
2010/5/4,2103
2010/5/5,1829
2010/5/6,2158
2010/5/7,2955
2010/5/8,1706
2010/5/9,1610
2010/5/10,2010
2010/5/11,1972
2010/5/12,2041
2010/5/13,1474
2010/5/14,1788
2010/5/15,1441
2010/5/16,1551
2010/5/17,1761
2010/5/18,1565
2010/5/19,1378
2010/5/20,1631
2010/5/21,1764
2010/5/22,1652
2010/5/23,1550
2010/5/24,1649
2010/5/25,1610
2010/5/26,1605
2010/5/27,1348
2010/5/28,1204
2010/5/29,1224
2010/5/30,1159
2010/5/31,1232
2010/6/1,1329
2010/6/2,1407
2010/6/3,1668
2010/6/4,1924
2010/6/5,1691
2010/6/6,1459
2010/6/7,2795
2010/6/8,8263
2010/6/9,1374
2010/6/10,1127
2010/6/11,897
2010/6/12,232
2010/6/13,205
2010/6/14,193
2010/6/15,548
2010/6/16,775
2010/6/17,1366
2010/6/18,1617
2010/6/19,1260
2010/6/20,1145
2010/6/21,1348
2010/6/22,1130
2010/6/23,1105
2010/6/24,1011
2010/6/25,977
2010/6/27,463
2010/6/29,1348
2010/6/30,1258
2010/7/1,1158
2010/7/2,1227
2010/7/3,1019
2010/7/4,911
2010/7/6,1564
2010/7/11,1251
2010/7/12,1185
2010/7/13,1397
2010/7/14,1404
2010/7/15,2093
2010/7/16,1731
2010/7/17,1495
2010/7/18,1391
2010/7/19,1444
2010/7/20,1753
2010/7/21,1721
2010/7/22,3386
2010/7/23,2380
2010/7/24,1847
2010/7/25,1900
2010/7/26,2835
2010/7/27,2435
2010/7/28,2440
2010/7/29,2698
2010/7/30,2587
2010/7/31,2812
2010/8/1,2146
2010/8/2,3413
2010/8/3,5930
2010/8/4,4690
2010/8/5,3180
2010/8/6,3009
2010/8/7,2637
2010/8/8,2579
2010/8/9,3432
2010/8/10,2755
2010/8/11,2895
2010/8/12,2879
2010/8/13,3411
2010/8/14,2437
2010/8/15,4055
2010/8/16,3947
2010/8/17,6276
2010/8/18,5385
2010/8/19,4631
2010/8/20,4963
2010/8/21,4252
2010/8/22,3948
2010/8/23,4631
2010/8/24,4080
2010/8/25,3232
2010/8/26,3590
2010/8/27,7022
2010/8/28,3207
2010/8/29,3434
2010/8/30,3597
2010/8/31,3345
2010/9/1,3495
2010/9/2,3657
2010/9/3,3964
2010/9/4,3238
2010/9/5,3811
2010/9/6,3722
2010/9/7,4681
2010/9/8,5177
2010/9/9,5570
2010/9/10,9246
2010/9/11,4188
2010/9/12,19268
2010/9/13,10623
2010/9/14,6450
2010/9/15,4889
2010/9/16,5521
2010/9/17,7691
2010/9/18,8741
2010/9/19,13366
2010/9/20,91684
2010/9/21,10889
2010/9/22,5526
2010/9/23,4803
2010/9/24,4137
2010/9/25,4039
2010/9/26,11276
2010/9/27,12285
2010/9/28,7502
2010/9/29,4656
2010/9/30,4069
2010/10/1,3907
2010/10/2,3647
2010/10/3,8183
2010/10/4,11038
2010/10/5,9214
2010/10/6,4663
2010/10/7,3844
2010/10/8,4125
2010/10/9,3304
2010/10/10,9505
2010/10/11,6982
2010/10/12,13913
2010/10/13,4868
2010/10/14,5243
2010/10/15,4240
2010/10/16,3309
2010/10/17,9446
2010/10/18,23749
2010/10/19,6112
2010/10/20,4208
2010/10/21,3878
2010/10/22,3851
2010/10/23,3007
2010/10/24,5063
2010/10/25,7054
2010/10/26,17839
2010/10/27,4916
2010/10/28,4472
2010/10/29,7663
2010/10/30,7091
2010/10/31,8222
2010/11/1,9229
2010/11/2,28184
2010/11/3,5376
2010/11/4,5714
2010/11/5,6511
2010/11/6,4159
2010/11/7,8670
2010/11/8,13675
2010/11/9,6063
2010/11/10,4320
2010/11/11,4349
2010/11/12,4449
2010/11/13,3579
2010/11/14,7151
2010/11/15,10000
2010/11/16,6091
2010/11/17,4095
2010/11/18,5215
2010/11/19,5457
2010/11/20,6209
2010/11/21,13913
2010/11/22,25892
2010/11/23,6746
2010/11/24,4081
2010/11/25,6067
2010/11/26,6271
2010/11/27,4413
2010/11/28,10206
2010/11/29,28456
2010/11/30,7434
2010/12/1,5712
2010/12/2,4403
2010/12/3,4061
2010/12/4,3723
2010/12/5,10747
2010/12/6,20386
2010/12/7,9594
2010/12/8,6300
2010/12/9,6735
2010/12/10,17384
2010/12/11,5265
2010/12/12,7526
2010/12/13,9218
2010/12/14,16640
2010/12/15,6511
2010/12/16,4858
2010/12/17,5097
2010/12/18,3443
2010/12/19,9015
2010/12/20,9097
2010/12/21,16062
2010/12/22,6635
2010/12/23,5154
2010/12/24,4114
2010/12/25,3279
2010/12/26,7506
2010/12/27,11846
2010/12/28,7356
2010/12/29,7155
2010/12/30,4635
2010/12/31,5414
2011/1/1,8182
2011/1/2,12076
2011/1/3,21893
2011/1/4,8617
2011/1/5,7873
2011/1/6,7684
2011/1/7,9769
2011/1/8,8938
2011/1/9,53003
2011/1/10,11881
2011/1/11,9887
2011/1/12,5548
2011/1/13,5504
2011/1/14,5974
2011/1/15,6126
2011/1/16,13364
2011/1/17,11471
2011/1/18,6527
2011/1/19,6016
2011/1/20,5897
2011/1/21,4835
2011/1/22,4488
2011/1/23,7888
2011/1/24,14049
2011/1/25,6544
2011/1/26,5476
2011/1/27,4890
2011/1/28,4669
2011/1/29,3611
2011/1/30,4363
2011/1/31,8725
2011/2/1,4256
2011/2/2,4224
2011/2/3,5090
2011/2/4,4605
2011/2/5,5092
2011/2/6,8036
2011/2/7,17626
2011/2/8,5647
2011/2/9,3957
2011/2/10,3918
2011/2/11,3495
2011/2/12,2734
2011/2/13,2542
2011/2/14,3056
2011/2/15,2897
2011/2/16,4807
2011/2/17,2858
2011/2/18,3052
2011/2/19,1899
2011/2/20,1844
2011/2/21,2622
2011/2/22,2168
2011/2/23,2281
2011/2/24,2398
2011/2/25,2114
2011/2/26,1778
2011/2/27,1996
2011/2/28,2407
2011/3/1,2323
2011/3/2,2356
2011/3/3,2219
2011/3/4,2119
2011/3/5,1552
2011/3/6,1890
2011/3/7,2315
2011/3/8,2184
2011/3/9,2370
2011/3/10,2022
2011/3/11,1786
2011/3/12,1915
2011/3/13,1936
2011/3/14,1855
2011/3/15,2126
2011/3/16,1663
2011/3/17,1709
2011/3/18,1505
2011/3/19,1306
2011/3/20,1405
2011/3/21,1659
2011/3/22,1862
2011/3/23,2079
2011/3/24,3904
2011/3/25,4152
2011/3/26,2403
2011/3/27,1774
2011/3/28,1974
2011/3/29,2147
2011/3/30,1993
2011/3/31,2159
2011/4/1,1780
2011/4/2,1424
2011/4/3,1623
2011/4/4,1683
2011/4/5,1915
2011/4/6,1788
2011/4/7,1681
2011/4/8,3697
2011/4/9,4884
2011/4/10,3440
2011/4/11,3367
2011/4/12,3670
2011/4/13,5013
2011/4/14,5296
2011/4/15,3127
2011/4/16,1786
2011/4/17,1932
2011/4/18,2974
2011/4/19,3006
2011/4/20,2738
2011/4/21,2645
2011/4/22,2563
2011/4/23,1823
2011/4/24,2123
2011/4/25,3064
2011/4/26,3296
2011/4/27,3572
2011/4/28,4161
2011/4/29,5659
2011/4/30,4737
2011/5/1,3017
2011/5/2,2430
2011/5/3,2221
2011/5/4,2389
2011/5/5,2471
2011/5/6,1923
2011/5/7,1427
2011/5/8,1565
2011/5/9,1763
2011/5/10,1871
2011/5/11,2059
2011/5/12,2051
2011/5/13,1711
2011/5/14,1236
2011/5/15,1588
2011/5/16,1884
2011/5/17,1833
2011/5/18,1979
2011/5/19,1897
2011/5/20,1585
2011/5/21,1228
2011/5/22,1390
2011/5/23,1785
2011/5/24,2023
2011/5/25,3704
2011/5/26,2136
2011/5/27,1520
2011/5/28,1204
2011/5/29,1261
2011/5/30,1642
2011/5/31,1679
2011/6/1,1699
2011/6/2,1907
2011/6/3,1513
2011/6/4,1216
2011/6/5,1225
2011/6/6,1776
2011/6/7,1893
2011/6/8,1522
2011/6/9,1366
2011/6/10,1577
2011/6/11,1324
2011/6/12,1409
2011/6/13,1720
2011/6/14,1336
2011/6/15,1668
2011/6/16,1603
2011/6/17,1641
2011/6/18,1837
2011/6/19,2074
2011/6/20,1856
2011/6/21,1508
2011/6/22,1607
2011/6/23,2321
2011/6/24,2156
2011/6/25,1431
2011/6/26,1965
2011/6/27,1933
2011/6/28,1920
2011/6/29,2065
2011/6/30,1809
2011/7/1,1675
2011/7/2,1620
2011/7/3,1353
2011/7/4,2823
2011/7/5,1998
2011/7/6,1925
2011/7/7,2022
2011/7/8,8103
2011/7/9,6235
2011/7/10,3897
2011/7/11,2390
2011/7/12,1956
2011/7/13,2009
2011/7/14,3991
2011/7/15,2034
2011/7/16,1570
2011/7/17,2179
2011/7/18,2330
2011/7/19,2390
2011/7/20,3156
2011/7/21,2693
2011/7/22,2434
2011/7/23,1836
2011/7/24,1777
2011/7/25,2662
2011/7/26,4435
2011/7/27,3896
2011/7/28,3775
2011/7/29,4398
2011/7/30,8768
2011/7/31,15260
2011/8/1,7691
2011/8/2,5112
2011/8/3,4221
2011/8/4,4127
2011/8/5,3849
2011/8/6,3285
2011/8/7,3415
2011/8/8,3038
2011/8/9,3249
2011/8/10,3406
2011/8/11,3133
2011/8/12,3607
2011/8/13,3113
2011/8/14,4620
2011/8/15,3319
2011/8/16,3529
2011/8/17,3550
2011/8/18,3989
2011/8/19,4048
2011/8/20,4551
2011/8/21,6350
2011/8/22,6160
2011/8/23,6048
2011/8/24,4968
2011/8/25,6016
2011/8/26,5327
2011/8/27,10152
2011/8/28,4497
2011/8/29,4684
2011/8/30,6450
2011/8/31,3785
2011/9/1,3488
2011/9/3,3100
2011/9/4,3356
2011/9/5,9756
2011/9/6,9437
2011/9/7,8318
2011/9/8,17022
2011/9/9,23929
2011/9/10,9055
2011/9/11,16963
2011/9/12,14987
2011/9/13,11476
2011/9/14,5189
2011/9/15,4673
2011/9/16,4585
2011/9/17,5461
2011/9/18,10096
2011/9/19,13370
2011/9/20,13661
2011/9/21,4812
2011/9/22,3958
2011/9/23,3901
2011/9/24,3957
2011/9/25,8351
2011/9/26,28355
2011/9/27,9572
2011/9/28,3926
2011/9/29,4216
2011/9/30,4544
2011/10/1,3621
2011/10/2,7170
2011/10/3,8056
2011/10/4,14140
2011/10/5,4512
2011/10/6,4070
2011/10/7,4297
2011/10/8,3460
2011/10/9,7850
2011/10/10,7210
2011/10/11,6030
2011/10/12,3763
2011/10/13,3544
2011/10/14,3410
2011/10/15,6866
2011/10/16,8864
2011/10/17,8191
2011/10/18,6109
2011/10/19,4546
2011/10/21,3667
2011/10/22,3149
2011/10/23,6847
2011/10/24,26443
2011/10/25,6700
2011/10/26,6375
2011/10/27,7223
2011/10/28,5227
2011/10/29,3826
2011/10/30,11575
2011/10/31,9205
2011/11/1,6575
2011/11/2,5730
2011/11/3,6269
2011/11/4,7097
2011/11/5,4629
2011/11/6,11798
2011/11/7,17001
2011/11/8,6879
2011/11/9,4727
2011/11/10,3701
2011/11/11,3746
2011/11/12,3125
2011/11/13,8711
2011/11/14,12934
2011/11/15,7996
2011/11/16,4625
2011/11/17,4555
2011/11/18,5367
2011/11/19,3843
2011/11/20,6280
2011/11/21,13295
2011/11/22,6153
2011/11/23,4271
2011/11/24,6398
2011/11/25,6173
2011/11/26,4383
2011/11/27,11082
2011/11/28,11006
2011/11/29,18897
